X1,X2,X3,X4,X5,Generation,Iter
3,Hybridindex,6.578[1.70277],6.60031[1.67911],6.55691[1.72457],58,0
3,Pref0,0[0],0[0],0[0],58,0
3,Signal0,0[0],0[0],0[0],58,0
3,Hybridindex,6.54075[1.67779],6.5128[1.69582],6.56961[1.65846],59,0
3,Pref0,0[0],0[0],0[0],59,0
3,Signal0,0[0],0[0],0[0],59,0
3,Hybridindex,6.60325[1.63683],6.61403[1.65187],6.59267[1.62185],60,0
3,Pref0,0[0],0[0],0[0],60,0
3,Signal0,0[0],0[0],0[0],60,0
3,Hybridindex,6.6125[1.60167],6.58192[1.60241],6.64314[1.60034],61,0
3,Pref0,0[0],0[0],0[0],61,0
3,Signal0,0[0],0[0],0[0],61,0
3,Hybridindex,6.58925[1.64884],6.6[1.63429],6.57943[1.66196],62,0
3,Pref0,0[0],0[0],0[0],62,0
3,Signal0,0[0],0[0],0[0],62,0
3,Hybridindex,6.62125[1.64071],6.57608[1.6121],6.66237[1.66525],63,0
3,Pref0,0[0],0[0],0[0],63,0
3,Signal0,0[0],0[0],0[0],63,0
3,Hybridindex,6.5865[1.63295],6.57443[1.60223],6.5986[1.66307],64,0
3,Pref0,0[0],0[0],0[0],64,0
3,Signal0,0[0],0[0],0[0],64,0
3,Hybridindex,6.533[1.64055],6.48758[1.64935],6.57544[1.63115],65,0
3,Pref0,0[0],0[0],0[0],65,0
3,Signal0,0[0],0[0],0[0],65,0
3,Hybridindex,6.56925[1.67842],6.53842[1.70106],6.60102[1.65416],66,0
3,Pref0,0[0],0[0],0[0],66,0
3,Signal0,0[0],0[0],0[0],66,0
3,Hybridindex,6.6125[1.66353],6.62098[1.61853],6.60408[1.70696],67,0
3,Pref0,0[0],0[0],0[0],67,0
3,Signal0,0[0],0[0],0[0],67,0
3,Hybridindex,6.5645[1.64851],6.55986[1.68545],6.56909[1.61117],68,0
3,Pref0,0[0],0[0],0[0],68,0
3,Signal0,0[0],0[0],0[0],68,0
3,Hybridindex,6.63975[1.68214],6.6925[1.65662],6.58419[1.70685],69,0
3,Pref0,0[0],0[0],0[0],69,0
3,Signal0,0[0],0[0],0[0],69,0
3,Hybridindex,6.6565[1.6171],6.64768[1.6585],6.66518[1.57524],70,0
3,Pref0,0[0],0[0],0[0],70,0
3,Signal0,0[0],0[0],0[0],70,0
3,Hybridindex,6.724[1.64873],6.65932[1.63982],6.78564[1.65483],71,0
3,Pref0,0[0],0[0],0[0],71,0
3,Signal0,0[0],0[0],0[0],71,0
3,Hybridindex,6.73725[1.72064],6.8125[1.75874],6.65307[1.67298],72,0
3,Pref0,0[0],0[0],0[0],72,0
3,Signal0,0[0],0[0],0[0],72,0
3,Hybridindex,6.691[1.68004],6.68586[1.72498],6.69604[1.63477],73,0
3,Pref0,0[0],0[0],0[0],73,0
3,Signal0,0[0],0[0],0[0],73,0
3,Hybridindex,6.6825[1.62417],6.65545[1.60927],6.70854[1.63797],74,0
3,Pref0,0[0],0[0],0[0],74,0
3,Signal0,0[0],0[0],0[0],74,0
3,Hybridindex,6.66375[1.63449],6.67568[1.66334],6.65185[1.6051],75,0
3,Pref0,0[0],0[0],0[0],75,0
3,Signal0,0[0],0[0],0[0],75,0
3,Hybridindex,6.638[1.64331],6.60682[1.6459],6.66899[1.64013],76,0
3,Pref0,0[0],0[0],0[0],76,0
3,Signal0,0[0],0[0],0[0],76,0
